Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_7462,1.821885705,2.157111538,1.183999377,0.243668321,0.003323235,0.299903545
Gene_51278,1.476730304,1.896681553,1.28437911,0.361071105,0.003158282,0.299903545
Gene_23168,3.202310433,3.068380883,0.958177212,-0.061635592,0.003051928,0.299903545
Gene_2213,1.977097243,2.328172184,1.177570902,0.235813928,0.002850607,0.299903545
Gene_9153,1.907183081,1.410193851,0.739411893,-0.435549847,0.002827127,0.299903545
Gene_58472,2.184600233,2.464861269,1.128289392,0.174137148,0.00308585,0.299903545
Gene_9595,1.464933596,1.729765342,1.180780717,0.239741067,0.00281852,0.299903545
Gene_2214,2.748857549,3.198201086,1.163465559,0.218428505,0.002929815,0.299903545
Gene_694,1.662095062,1.921511932,1.156078239,0.209239037,0.00271933,0.299903545
Gene_861,1.968099709,2.35730443,1.197756608,0.260334772,0.002754236,0.299903545
Gene_29923,2.007572572,2.575184559,1.282735476,0.35922369,0.003052668,0.299903545
Gene_1910,3.547740441,3.303320122,0.931105355,-0.102983676,0.003005455,0.299903545
Gene_6531,2.281331658,0.953588658,0.417996504,-1.258437218,0.002585742,0.299903545
Gene_123720,2.696728516,2.774575225,1.028867092,0.041056628,0.002843979,0.299903545
Gene_8972,1.95154836,2.639412704,1.352471073,0.435597737,0.002795264,0.299903545
Gene_6275,1.381983294,1.910393608,1.382356514,0.467129739,0.003357519,0.299903545
Gene_22856,3.105554769,3.32691366,1.071278373,0.099333415,0.003216772,0.299903545
Gene_714,2.36764539,2.825518792,1.19338766,0.255062764,0.002805508,0.299903545
Gene_55365,2.135343312,2.328811022,1.090602625,0.125125534,0.002917324,0.299903545
Gene_79660,1.932725798,2.232105395,1.154900192,0.207768177,0.003075749,0.299903545
Gene_8531,2.288338626,2.815825166,1.230510701,0.299257204,0.003233258,0.299903545
Gene_8399,0.760723911,1.149818204,1.511478983,0.595960918,0.003242151,0.299903545
Gene_7408,2.218755849,2.499755932,1.126647591,0.172036319,0.003075637,0.299903545
Gene_2014,2.097269639,2.36726607,1.12873711,0.174709512,0.003244804,0.299903545
Gene_1116,2.961380257,3.497890718,1.181169055,0.240215465,0.003400193,0.299903545
Gene_8795,2.755608179,3.064074357,1.111941233,0.153080543,0.002768777,0.299903545
Gene_4705,3.5632617,3.467628334,0.973161285,-0.039249168,0.003313321,0.299903545
Gene_10127,2.492049013,2.617872263,1.050489878,0.071062261,0.003181714,0.299903545
Gene_5743,1.557133594,2.083881837,1.338280701,0.420380749,0.003458261,0.303565782
Gene_5329,1.658838901,2.128034163,1.282845587,0.359347527,0.00347692,0.303750317
Gene_54457,1.288628444,0.739173872,0.573612879,-0.801850678,0.003537821,0.307169339
Gene_441212,2.287941694,2.453214981,1.072236669,0.10062338,0.003549542,0.307169339
Gene_9332,2.444721756,3.018206393,1.23458074,0.304021189,0.003606357,0.310620743
Gene_597,0.945692915,2.025250069,2.141551487,1.098656363,0.00370667,0.315374889
Gene_7076,1.889852423,2.26633307,1.199211664,0.262086321,0.003703138,0.315374889
Gene_148156,2.493942899,2.633384012,1.055911911,0.078489483,0.003730315,0.315374889
Gene_93432,1.269932153,1.865312162,1.468828203,0.554665666,0.003729119,0.315374889
Gene_122953,2.022475952,2.367868066,1.170776871,0.22746615,0.003752912,0.31582994
Gene_80778,2.620555772,2.727228622,1.040706193,0.057562832,0.003789926,0.317488496
Gene_3316,1.702897461,1.922329261,1.128857906,0.174863899,0.003819014,0.318471019
Gene_51004,2.757583898,2.658739449,0.964155416,-0.052662377,0.003910291,0.321094311
Gene_5359,2.744687766,3.108006933,1.132371766,0.179347683,0.00392048,0.321094311
Gene_840,2.034968431,2.330468334,1.14521105,0.195613496,0.003886286,0.321094311
Gene_80270,1.894348574,2.134000647,1.126508963,0.171858792,0.003913263,0.321094311
Gene_90957,3.107409487,2.912943106,0.937418489,-0.093234845,0.004047714,0.321178021
Gene_2357,1.988923985,2.60857155,1.311549144,0.391271867,0.004023631,0.321178021
Gene_7528,3.146192372,3.284266536,1.043886117,0.061964329,0.003941937,0.321178021
Gene_126382,2.09441317,2.243043192,1.070964996,0.098911327,0.004053444,0.321178021
Gene_85363,1.796743173,2.083643038,1.159677727,0.213723938,0.004046623,0.321178021
Gene_100133315,2.010405598,1.84137587,0.915922574,-0.126702448,0.004019028,0.321178021
Gene_11067,1.431962123,1.919256686,1.3402985,0.422554342,0.004061556,0.321178021
Gene_2919,0.923770344,1.57116491,1.700817655,0.766228478,0.00399815,0.321178021
Gene_7566,2.366456367,2.238523603,0.945939099,-0.080180791,0.004151921,0.322761653
Gene_27230,2.428161116,2.597042288,1.069551057,0.097005354,0.00426438,0.322761653
Gene_115330,1.692671111,1.937307877,1.144527052,0.194751563,0.004195291,0.322761653
Gene_3426,2.348891193,2.674089436,1.138447555,0.187067832,0.004294676,0.322761653
Gene_64651,2.11788508,2.497340153,1.17916698,0.23776803,0.004258675,0.322761653
Gene_1535,2.440881612,2.807598398,1.150239481,0.201934263,0.004271227,0.322761653
Gene_129607,2.204138451,2.035700086,0.92358086,-0.11468982,0.004275092,0.322761653
Gene_2941,2.695328043,2.483680612,0.921476189,-0.117981209,0.004284231,0.322761653
Gene_29881,0.854968043,1.697952192,1.985983225,0.989853437,0.004298078,0.322761653
Gene_1295,1.293589839,1.667553188,1.289089585,0.366352527,0.004189178,0.322761653
