GeneId,GSM5213623,GSM5213624,GSM5213625,GSM5213626,GSM5213627,GSM5213628,GSM5213629,GSM5213630,GSM5213631,GSM5213632,GSM5213633,GSM5213634
Gene_9520,2.932773087,2.950781162,3.0702503,3.067473718,3.084829301,3.073981206,3.164673981,3.154838668,2.820266892,2.975902308,3.092402651,2.990281941
Gene_112268184,2.720353196,2.71938528,2.829247369,2.77206641,2.798879626,2.788571711,2.859410066,2.87341178,2.592006844,2.685473898,2.864776247,2.76784009
Gene_3837,3.306511273,3.264252202,3.448773747,3.409501148,3.547805019,3.454194602,3.52014355,3.522204671,3.339713322,3.383108109,3.365618108,3.343106028
Gene_9755,1.894765584,1.880433365,1.949844151,1.740681587,1.504702756,1.629796285,1.522821344,1.423512014,2.185290517,1.799125478,1.781369208,1.682787105
Gene_114881,1.836260645,1.807394418,1.700576727,1.60065893,1.777697292,1.2803347,1.67982709,1.689660511,1.61681739,1.988540786,1.539076628,1.6749851
Gene_124995,2.678906882,2.656615128,2.745064351,2.682754235,2.779856421,2.613941663,2.621837575,2.781116911,2.673585015,3.034231854,2.756566439,2.734144979
Gene_90506,1.281803403,1.153008223,1.022981546,1.339604431,1.361286262,1.330944398,0.916849342,0.521093421,1.293099605,1.115593559,1.322855677,1.258951975
Gene_90507,2.202105222,2.068458403,2.226282564,2.217529626,2.0602402,1.79433806,1.931717541,2.134538606,2.351520486,2.220762064,2.554275322,2.452046172
Gene_102724532,1.814865979,1.743223638,1.512773754,1.610864942,1.918622001,1.569825476,1.555916581,1.722680874,0,1.787088033,1.771983523,2.051135032
Gene_6668,2.089875671,1.707192435,1.953407987,1.828436921,1.812458806,2.013388443,1.858871489,1.770789179,1.64825181,2.197675732,1.478233932,1.719823711
Gene_100506325,0.423005877,1.052501136,0.957856317,1.320346168,1.078758079,1.2803347,0.695362951,1.369649311,1.356875578,0.9825778,1.078624601,0.433820205
Gene_55163,3.199643995,3.114872996,3.131842347,3.156411227,3.221994957,3.14398901,3.160535965,3.163681737,3.371817696,3.309068609,3.141266961,3.113200432
Gene_80279,2.60733846,2.327516099,2.510555859,2.433292894,2.814452232,2.714278648,2.534157109,2.57964365,2.462234203,2.611682239,2.926793992,2.597171117
Gene_51226,1.921305579,2.05179131,1.234274372,1.339604431,1.379768831,0,0.633354332,0.807029864,0,1.455479728,1.785987067,1.597635801
Gene_4779,3.406478288,3.393107476,3.386684515,3.433369876,3.349592643,3.287958368,3.386482277,3.262554882,3.644331443,3.597330448,3.227068098,3.299954565
Gene_10951,3.098258518,2.92273722,2.912397199,2.914389061,2.924334888,2.935923697,3.007343167,2.857855375,3.101120786,3.192797919,2.912271666,2.957457041
Gene_29916,1.894765584,2.289913226,2.415208111,2.362547847,2.133080648,2.395275388,2.326597368,2.248694167,2.369171921,2.540320108,2.361234251,2.333274659
Gene_10241,2.72442338,2.514788177,2.242998104,2.374878842,2.41115984,2.32540605,2.482639636,2.263588279,1.944373241,2.183210919,1.955058904,2.156461732
Gene_105371814,1.571333657,1.787039787,1.592994413,1.701568112,1.868776305,1.820901261,1.850866991,1.735216708,1.013639848,1.33558365,1.942428366,1.705385832
Gene_516,3.481350971,3.633777798,3.812329028,3.822689004,3.811716189,3.776784835,3.825498089,3.811665667,3.211019459,3.378441846,3.889356558,3.89145548
Gene_65264,2.787181847,2.739606343,2.833010116,2.802305374,2.727892989,2.785786952,2.766100755,2.724179296,2.900188288,2.954024211,2.809270114,2.852478793
Gene_11267,2.687812554,2.61686273,2.618087493,2.731233913,2.684384659,2.712297894,2.681237576,2.68853399,2.402458162,2.638271218,2.963403291,2.739606449
Gene_162466,1.242674572,1.153008223,1.269947565,1.154517727,1.590614794,1.049724973,1.416164578,1.273789216,0.613456073,1.054158408,1.459160957,1.258951975
Gene_22834,2.594780879,2.500916878,2.297706692,2.41626288,2.478106373,2.553485217,2.278056743,2.409824391,2.39708462,2.661699738,2.402010471,2.484966286
Gene_5245,2.819816528,2.965535849,3.193602165,3.25675117,3.301869502,3.167814484,3.196795404,3.264568226,2.710580976,2.821986202,3.261899973,3.098310539
Gene_8405,2.874734165,2.813196281,2.837668162,2.908329426,2.897166019,2.92632805,2.983008456,2.932565484,2.881100834,2.823111082,2.956013736,2.952914455
Gene_10237,2.652634794,2.916595214,2.812881702,2.833001274,2.814452232,2.992912413,2.791373759,2.890163377,2.48268672,2.271624234,3.075755199,2.845624138
Gene_81558,2.10699708,1.681395856,1.831254973,1.717638629,1.278316254,1.587821363,1.960894132,1.682744109,2.38335248,2.246937311,1.955058904,1.606942607
Gene_11143,2.871858708,2.50492552,2.707971804,2.560104576,2.767436748,2.744800442,2.770011073,2.71131596,2.629990403,2.834202482,2.682811865,2.803814903
Gene_3675,2.21538654,2.211177306,2.250225605,2.340558637,2.129875533,2.083503018,1.924958782,2.256205069,2.689039774,2.072074065,2.219504464,1.946850319
Gene_5164,2.674384615,2.530116867,2.517389715,2.615387636,2.651785713,2.532976145,2.61074593,2.711968257,2.910256538,2.948167499,2.860541251,2.669842604
Gene_201191,2.35573769,2.276618877,2.29609737,2.366106859,2.337996956,2.334976861,2.440068004,2.529075632,2.796141598,2.86178055,2.582326188,2.43596759
Gene_84687,2.112557435,2.259407383,2.386063686,2.323303805,2.184232793,2.236198354,2.138533922,2.122043175,2.502219218,2.472863471,2.325610923,1.998392778
Gene_64132,1.912637881,1.667899234,1.908581058,1.940889985,1.707117576,1.742001175,1.803993055,1.993108339,2.058356976,1.885019844,1.869322538,2.00580628
Gene_51264,3.067503622,3.225790111,3.408382299,3.448290145,3.394165294,3.352379427,3.588293355,3.490394649,2.888139171,2.933606317,3.434984385,3.454342836
Gene_146956,2.006725662,1.880433365,1.963927316,1.977081487,1.94893354,1.810470125,1.941662461,1.85347296,2.254343049,2.08455807,1.767213504,1.938348303
Gene_55379,2.39494243,2.336429246,2.449370011,2.462642852,2.307036657,2.382737666,2.517074038,2.471834035,2.445632872,2.389932113,2.324282998,2.524563252
Gene_55316,2.550760478,2.299623554,2.328700799,2.29082637,2.443584801,2.4469962,2.378722008,2.305431078,2.410395833,2.36806928,2.494775726,2.32805609
Gene_84073,0.965797912,0.921500269,0,0,0.476813538,1.37626714,0.88068445,1.126180534,1.526554896,1.527704127,1.16343713,0.940462549
Gene_55040,2.027375308,1.707192435,1.72527246,1.76961885,2.071424265,1.87418272,1.563810812,1.741351494,1.74320505,1.70688258,1.849939414,1.454006527
Gene_64847,2.813262773,2.834260332,2.26259134,2.100874142,2.661352035,2.720816664,2.788585388,2.717795251,3.024778053,2.942230725,2.829264721,2.609244247
Gene_253962,0.880478823,1.681395856,1.719228928,1.208689481,1.078758079,1.805159074,1.547876194,1.668571824,1.766914481,0.647648122,1.555001912,0.940462549
Gene_8913,2.436176067,2.440525179,2.735204962,2.640596221,2.298393741,2.530971425,2.49747241,2.529075632,2.856467323,2.815175041,2.346323419,2.184138616
Gene_101927253,1.938138654,1.75459903,2.013010879,1.959362625,1.531030845,2.010067444,1.741163195,1.867365153,2.239055311,2.163143142,1.72704102,1.588125177
Gene_91369,3.031083903,2.902449627,2.93740793,2.899597579,2.657550755,2.744800442,2.820919382,2.816336584,3.098440423,3.152630304,2.59320138,2.766566809
Gene_51747,3.192349404,3.229191379,3.223954969,3.310302016,3.364277098,3.276377793,3.230428011,3.254593744,3.162795019,3.262641192,3.290422165,3.323394723
Gene_10140,2.827339636,2.630521841,2.719070818,2.63965324,2.766694999,2.696804326,2.548977634,2.610355062,2.885513144,2.952358909,2.611429703,2.71947303
Gene_400604,1.410406696,1.414602874,1.414299942,1.256847334,1.643001517,1.37626714,1.539684137,1.126180534,1.461755956,1.33558365,1.143735728,0
Gene_9043,3.242243083,3.230319241,3.24367904,3.237166712,3.338194221,3.315214245,3.217598451,3.218370088,3.292157309,3.41673624,3.204358489,3.292611548
Gene_654364,3.286250763,3.383187358,3.529589963,3.584090084,3.52845518,3.545547473,3.663904437,3.605414973,2.942225304,3.111268178,3.64364603,3.574903573
Gene_4830,3.373528421,3.429243646,3.594062732,3.628708276,3.566329381,3.561756959,3.69506498,3.654811827,2.958854118,3.081948428,3.739067531,3.657439426
Gene_4831,3.121601155,3.209949198,3.314368462,3.371830003,3.327918164,3.359743653,3.46682863,3.364887137,2.887265592,3.039724277,3.384778408,3.342767814
Gene_54799,2.211004408,2.114934428,1.694176958,1.725456252,2.184232793,2.108127485,2.008367754,1.950106861,1.840982102,2.392967432,2.272056474,2.169261173
Gene_51096,2.456664658,2.003939891,2.297706692,2.217529626,2.564205666,2.489907434,2.48826146,2.497142468,1.730846589,2.271624234,2.487530489,2.499357507
Gene_105371828,0,1.303211045,1.502871986,1.358044849,0.844702364,0.862427954,1.062821988,0.94112344,0,0,1.16343713,0.788588651
Gene_56934,1.688486948,0.733024829,0.921222965,1.776561626,1.555853674,1.836092733,0,1.369649311,1.074532252,1.504938268,2.131619205,1.46690758
Gene_10040,1.921305579,2.259407383,2.119491638,2.073943954,2.175632682,2.209655565,2.312875121,2.283267804,2.08688526,1.904078872,2.461175728,2.360095002
Gene_1353,3.078397767,3.071107164,3.120637892,3.032242973,2.8711119,2.986976344,3.074309449,3.159980262,3.074111391,2.902932033,3.025589964,2.997084666
Gene_252983,2.240789485,2.057418379,1.75986732,1.640118289,1.71555057,1.993070491,1.907586864,2.053527233,1.546170657,1.691947116,1.973341578,2.198523244
Gene_3131,1.836260645,2.094889732,2.019155404,1.896208266,1.838394128,2.198998694,1.889491006,1.986230641,2.158037095,2.279550915,1.747591594,1.747334709
Gene_23531,2.847125998,3.047736826,3.176530953,3.051680166,2.7954191,2.956768778,3.077197511,3.198208223,3.125033597,3.058418527,2.924462736,2.758198218
Gene_55273,2.027375308,1.153008223,2.131432598,1.828436921,1.755421302,1.541351187,1.904027511,1.99650677,1.356875578,1.721321441,2.034474734,1.78558622
Gene_58488,2.134113171,2.182803304,2.129070527,2.170120743,2.008143043,2.170001198,2.180207566,2.213188528,2.097791748,2.216241933,2.180567504,2.135164079
Gene_162282,1.462773898,2.138755468,0.957856317,1.233435579,1.145699371,1.810470125,1.109778699,0.248762506,1.326157226,1.33558365,1.280858941,2.076846908
Gene_9241,1.743522991,1.438496691,1.318500566,1.256847334,1.504702756,1.442654327,1.086934665,1.448129199,1.013639848,1.115593559,1.250420517,1.740618609
Gene_339210,1.912637881,0.921500269,1.75986732,2.014488357,1.747734618,1.48930616,1.785610524,1.910703526,1.074532252,1.748834223,1.599547722,1.597635801
Gene_8526,2.62636625,2.546738677,2.490416296,2.530793164,2.6165398,2.725977122,2.677038654,2.542761694,2.74101296,2.688547681,2.764360636,2.790746461
Gene_7706,2.134113171,1.854461742,1.700576727,1.940889985,2.00386429,2.257456226,1.756490001,1.814095839,1.959442954,1.822243423,1.606547248,2.174277162
Gene_8161,2.248937334,2.411829602,2.611898236,2.563492624,2.365028319,2.399375465,2.638620342,2.4649819,2.290361746,2.320736135,2.457276729,2.446752511
Gene_59342,2.920911163,2.865798279,2.78135165,2.862800973,2.78201173,2.828332522,2.892202128,2.925447644,2.828353721,2.785586031,2.911240126,2.846155278
Gene_8165,2.576187192,2.508897501,2.54460875,2.664421503,2.565387417,2.275918188,2.516201988,2.615268937,2.546564461,2.680822043,2.426862002,2.5598246
Gene_101927510,1.281803403,1.541498555,0.732768043,1.208689481,0,0,1.062821988,0,0.752780102,2.018206637,1.396334015,0
Gene_124540,3.475641517,3.380538697,3.489977024,3.499425478,3.276689201,3.217902526,3.454427921,3.426787732,3.876840821,3.830548317,3.429173711,3.360989163
Gene_51649,3.009214464,3.016328959,3.240392183,3.173311377,3.17359846,3.141532966,3.225341576,3.233734047,2.853641983,2.898232654,3.209758828,3.110898257
Gene_404093,2.065943721,2.170051598,2.102202744,2.161690564,2.078723439,2.148728028,2.127993078,2.009840644,2.377735696,2.283460653,2.114714147,2.145943446
Gene_7716,2.478614897,2.610651332,2.372755513,2.273629004,2.395739545,2.13644324,2.150854246,2.163137667,2.462234203,2.324293586,2.261428128,2.266087447
Gene_101929185,2.21538654,2.222792158,2.260846218,2.227397309,2.151829941,2.097355264,1.907586864,2.165438043,2.46686317,2.404900912,1.781369208,2.48981654
Gene_6426,2.813262773,3.0057538,3.034953644,2.996813103,2.910163316,2.963871525,3.034640256,3.091143354,2.819245368,2.819727664,2.782329813,3.021154169
Gene_140735,3.467422437,3.395937301,3.520645641,3.504093885,3.492996543,3.372518922,3.52547395,3.400892938,3.748082897,3.742318979,3.456891899,3.462637171
Gene_55545,1.281803403,1.234571072,0.921222965,1.233435579,1.230014435,0.525933866,0,1.173709192,0,0.789867379,0,1.719823711
Gene_54903,1.938138654,2.022507441,1.694176958,2.014488357,1.601609882,1.968098601,1.976294547,2.127084571,1.385563964,2.152750456,2.301063944,1.514990134
Gene_105371841,0.633172626,1.482668997,1.639270679,0,1.379768831,1.242989764,1.010165769,1.150594723,0.752780102,0,0,0
Gene_4025,2.73377471,2.645211201,2.720893387,2.555545667,2.427674861,2.381321977,2.642553509,2.96722822,2.457555366,2.843948182,2.366092894,2.504050523
