GeneId,GSM2843848,GSM2843849,GSM2843850,GSM2843851,GSM2843852,GSM2843853,GSM2843854,GSM2843855,GSM2843856,GSM2843857,GSM2843858,GSM2843859,GSM2843860,GSM2843861,GSM2843862,GSM2843863
Gene_338069,1.241874876,1.472737356,1.512510149,1.641602243,1.521221849,1.506203641,1.160536687,1.175822383,1.403289515,1.533783593,1.06957835,1.420795669,1.441320953,1.554480025,1.637403913,1.078546589
Gene_93654,1.984205483,1.954806716,1.980643277,1.979307034,1.993015993,1.912764456,1.885256731,1.787231582,1.71059213,1.999637946,2.007170431,1.86422976,2.048994798,1.987216707,1.970307664,1.954319049
Gene_93655,1.824859475,1.788297818,1.857215539,1.891563647,1.883150864,1.778496297,1.765349249,1.63318707,1.647485082,1.786050216,1.904118099,1.679443213,1.953053609,1.931879859,1.775943916,1.832833935
Gene_1080,2.402663403,2.797848913,2.566049951,2.623671069,2.395220552,2.269308589,2.302240022,2.21066983,2.658909045,2.094585743,1.828909449,1.948183829,2.614356178,2.266585786,2.39399584,1.566290799
Gene_83992,3.544753686,3.592100002,3.57633938,3.682817577,3.610264903,3.414562984,3.54920947,3.487339789,3.632803817,3.480163472,3.48513059,3.418938089,3.321766618,3.286829338,3.390690649,3.496244749
Gene_51691,2.286686246,2.322629358,2.432811552,2.56594362,2.433321048,2.351718372,2.190581276,2.171552774,2.106389758,2.401483257,2.279324083,2.367464683,3.042441031,2.213862438,2.343538257,2.026126828
Gene_56311,1.742690064,1.793605544,1.824274194,1.864200711,1.964356559,1.705216658,1.711984422,1.587343993,1.50860401,1.824358616,1.75359199,1.451801526,2.259680321,1.420696656,1.540276256,1.515759689
Gene_102724495,0.773490799,0.932082316,1.026914788,0.950769716,1.132527128,0.752943758,0.93339376,0.498643782,0.437182379,1.088808726,0.956801186,0.690208531,1.321590986,0.313031086,0.986578135,0.650127793
Gene_3751,3.688363889,3.084452112,3.268814611,3.306276398,3.329611198,3.190394705,3.457334317,3.409372084,3.068040724,3.3403822,3.376339961,3.380136391,3.028228285,3.126094948,3.11861097,3.431145447
Gene_23554,2.792139469,2.423786486,2.768172467,2.87930332,2.718158304,2.588739653,2.613907595,2.633879697,2.387565052,2.658503476,2.670946446,2.519252757,2.820272125,2.751177544,2.245513897,2.418744208
Gene_54556,2.714019641,2.816259957,2.811969279,2.985277925,2.882499714,2.641119113,2.694097723,2.709438936,2.546241958,2.890593155,2.757475536,2.61126082,3.033612718,2.512155333,2.686443196,2.507591332
Gene_79974,2.411063523,2.577329966,2.239629418,2.454591574,2.511395454,1.8694234,2.209046248,2.482036636,2.094420992,2.667365763,2.624393069,2.042197096,2.548754125,2.536826348,2.317064828,2.22692782
